#;PSRJ;Gl;P0;P1;DM;S1400;DIST_DM;NGLT;AGE;BSURF_I;
;;(deg);(s);;(cm^-3pc);(mJy);(kpc);;(Yr);(G);
197;J1947+1957;56.987;0.157509;5.23e-16;185.80;0.08;*;1;4.78e+06;*;
198;J1952+3252;68.765;0.039531;5.84e-15;45.01;1.00;*;6;1.07e+05;4.86e+11;
199;J1954+2529;62.580;0.931210;1.26e-15;182.70;0.06;*;1;1.17e+07;*;
200;J1955+5059;84.793;0.518938;1.37e-15;31.98;4.00;*;2;5.99e+06;*;
201;J1957+2831;65.524;0.307683;3.11e-15;138.99;1.00;*;5;1.57e+06;*;
202;J2005-0020;41.331;2.279680;2.57e-14;36.09;0.70;*;1;1.41e+06;*;
203;J2021+3651;75.222;0.103741;9.57e-14;367.50;0.10;*;4;1.72e+04;*;
204;J2022+3842;76.888;0.048579;8.61e-14;429.10;*;*;1;8.94e+03;*;
205;J2022+5154;87.862;0.529197;3.06e-15;22.55;27.00;*;1;2.74e+06;1.29e+12;
206;J2029+3744;76.898;1.216805;1.23e-14;190.66;0.60;*;1;1.56e+06;*;
207;J2029+5459;90.981;0.578909;2.26e-15;59.75;*;*;2;4.07e+06;*;
208;J2032+4127;80.224;0.143246;1.13e-14;114.67;*;*;1;2.01e+05;1.29e+12;
209;J2116+1414;64.464;0.440153;2.89e-16;56.20;0.80;*;1;2.41e+07;*;
210;J2202+5040;97.650;0.745379;4.44e-15;76.10;*;*;2;2.66e+06;*;
211;J2219+4754;98.385;0.538469;2.77e-15;43.50;3.00;*;1;3.09e+06;*;
212;J2225+6535;108.638;0.682542;9.66e-15;36.44;2.00;*;5;1.12e+06;2.59e+12;
213;J2229+6114;106.647;0.051648;7.74e-14;205.10;0.25;*;7;1.06e+04;*;
214;J2257+5909;108.831;0.368246;5.75e-15;151.08;9.20;*;1;1.01e+06;1.47e+12;
215;J2301+5852;109.087;6.979071;4.71e-13;*;*;*;4;2.35e+05;5.80e+13;
216;J2325+6316;113.418;1.436310;2.83e-15;197.37;2.10;*;1;8.05e+06;*;
217;J2337+6151;114.284;0.495370;1.93e-13;58.41;1.40;*;1;4.06e+04;9.91e+12;
218;J2346-0609;83.798;1.181463;1.36e-15;22.61;2.00;*;1;1.37e+07;1.28e+12;
219;J2351+6500;116.676;1.164883;2.80e-14;154.29;*;*;1;6.59e+05;*;
