PSRJ;RAJ;Gl;Gb;DECJD;P0;P1;F0;F1;F2;F3;PEPOCH;DM;W50;W10;TAU_SC;S400;S1400;S2000;DIST_DM;NGLT;AGE;BSURF;AGE_I;BSURF_I;B_LC;
;;(hms);(deg);(deg);(deg);(s);;(Hz);(s^-2);(s^-3);(s^-4);(MJD);(cm^-3pc);(ms);(ms);(s);(mJy);(mJy);(mJy);(kpc);;(Yr);(G);(Yr);(G);(G);
35;J0846-3533;08:46:06.0;257.190;4.710;-35.56132302;1.116099;1.60e-15;0.895978;-1.285e-15;9.300e-28;*;59400.00;94.16;19.000;75.000;0.00;16.00;5.00;*;*;1;1.10e+07;1.35e+12;*;*;9.12e+00;
36;J0901-4624;09:01:40.1;267.404;-0.004;-46.41342799;0.442058;8.74e-14;2.262145;-4.471e-13;*;*;59400.00;198.96;3.900;35.000;*;*;0.51;*;*;1;8.02e+04;6.29e+12;*;*;6.83e+02;
37;J0905-5127;09:05:51.9;271.633;-2.854;-51.46501389;0.346310;2.48e-14;2.887587;-2.072e-13;*;*;59400.00;196.43;8.100;11.000;0.00;12.00;1.05;*;*;2;2.21e+05;2.97e+12;*;*;6.70e+02;
38;J0908-4913;09:08:35.4;270.265;-1.019;-49.21805556;0.106771;1.51e-14;9.365805;-1.325e-12;4.000e-24;*;59400.00;180.16;2.400;4.400;0.00;28.00;20.00;*;*;1;1.12e+05;1.29e+12;1.12e+05;1.28e+12;9.90e+03;
39;J0922+0638;09:22:14.0;225.420;36.392;6.63980556;0.430632;1.37e-14;2.322168;-7.397e-14;1.800e-24;*;59400.00;27.30;11.400;25.400;0.00;52.00;10.00;*;*;2;4.97e+05;2.46e+12;4.98e+05;2.46e+12;2.89e+02;
40;J0940-5428;09:40:58.2;277.510;-1.292;-54.47777770;0.087569;3.29e-14;11.419623;-4.290e-12;*;*;59400.00;134.83;2.800;10.000;*;*;0.66;*;*;2;4.22e+04;1.72e+12;*;*;2.40e+04;
41;J0954-5430;09:54:06.0;278.998;-0.101;-54.51465199;0.472866;4.39e-14;2.114764;-1.962e-13;3.200e-25;*;59400.00;201.16;11.000;18.000;*;*;0.51;*;*;1;1.71e+05;4.61e+12;*;*;4.09e+02;
42;J1015-5719;10:15:37.9;283.088;-0.578;-57.32022222;0.139920;5.74e-14;7.146916;-2.930e-12;*;*;59400.00;277.79;46.000;63.000;*;*;3.00;*;*;1;3.86e+04;2.87e+12;*;*;9.81e+03;
43;J1016-5857;10:16:21.1;284.079;-1.880;-58.95336111;0.107386;8.08e-14;9.312161;-7.010e-12;*;*;52717.00;393.62;9.000;*;*;*;0.90;*;*;4;2.10e+04;2.98e+12;*;*;2.26e+04;
44;J1019-5749;10:19:52.1;283.837;-0.679;-57.81830556;0.162513;2.01e-14;6.153370;-7.595e-13;2.380e-24;*;59400.00;1039.90;47.000;*;*;*;3.80;*;*;2;1.28e+05;1.83e+12;*;*;3.99e+03;
45;J1023-5746;10:23:02.9;284.166;-0.407;-57.76805556;0.111472;3.84e-13;8.970828;-3.088e-11;7.100e-21;-1.090e-28;54856.00;*;*;*;*;*;*;*;*;1;4.60e+03;6.62e+12;*;*;4.48e+04;
46;J1028-5819;10:28:28.0;285.065;-0.496;-58.31811111;0.091403;1.61e-14;10.940532;-1.927e-12;*;*;54562.00;96.53;0.100;*;*;*;0.24;0.52;*;1;9.00e+04;1.23e+12;*;*;1.51e+04;
47;J1048-5832;10:48:13.0;287.427;0.577;-58.53505556;0.123740;9.61e-14;8.081444;-6.279e-12;1.470e-22;*;59400.00;128.68;7.700;13.000;*;*;9.10;*;*;7;2.04e+04;3.49e+12;*;*;1.73e+04;
48;J1050-5953;10:50:07.1;288.256;-0.520;-59.88927778;6.452077;3.81e-11;0.154989;-9.150e-13;*;*;51650.00;*;*;*;*;*;*;*;*;2;2.68e+03;5.02e+14;*;*;1.75e+01;
49;J1052-5954;10:52:38.1;288.549;-0.400;-59.91225000;0.180592;2.00e-14;5.537359;-6.127e-13;*;*;51683.00;491.90;2.300;*;*;*;0.15;*;*;1;1.43e+05;1.92e+12;*;*;3.06e+03;
50;J1055-6028;10:55:39.1;289.133;-0.745;-60.47708333;0.099661;2.95e-14;10.034032;-2.973e-12;*;*;54362.20;636.50;3.700;9.000;0.00;*;0.95;*;*;1;5.35e+04;1.74e+12;*;*;1.64e+04;
51;J1105-6107;11:05:26.1;290.489;-0.846;-61.13026111;0.063202;1.58e-14;15.822251;-3.967e-12;-5.400e-23;*;57600.00;271.63;3.100;4.100;*;*;1.20;*;*;4;6.32e+04;1.01e+12;*;*;3.76e+04;
52;J1112-6103;11:12:14.8;291.221;-0.462;-61.05863889;0.064962;3.15e-14;15.393650;-7.455e-12;*;*;51055.00;595.69;11.000;*;0.03;*;2.30;*;*;4;3.27e+04;1.45e+12;*;*;4.95e+04;
53;J1119-6127;11:19:14.3;292.151;-0.537;-61.46375000;0.407963;4.02e-12;2.451203;-2.416e-11;6.389e-22;*;52109.85;704.80;26.000;56.000;*;*;1.09;*;*;6;1.61e+03;4.10e+13;*;*;5.66e+03;
54;J1123-6259;11:23:55.5;293.183;-1.783;-62.98638199;0.271438;5.25e-15;3.684081;-7.129e-14;*;*;59400.00;223.26;6.400;14.000;*;11.00;0.51;*;*;1;8.19e+05;1.21e+12;*;*;5.66e+02;
55;J1124-5916;11:24:39.0;292.038;1.752;-59.27194444;0.135477;7.53e-13;7.381335;-4.100e-11;-8.600e-22;*;54683.28;329.20;10.000;*;*;*;0.08;*;*;1;2.85e+03;1.02e+13;2.85e+03;1.02e+13;3.85e+04;
56;J1141-3322;11:41:42.7;286.586;27.272;-33.37702719;0.291468;4.65e-16;3.430910;-5.477e-15;0.000e+00;*;59400.00;46.37;5.400;22.000;*;8.00;1.60;*;*;1;9.92e+06;3.73e+11;*;*;1.41e+02;
57;J1141-6545;11:41:07.0;295.791;-3.863;-65.75530919;0.393899;4.31e-15;2.538723;-2.776e-14;*;*;54637.00;116.08;7.700;15.000;*;*;2.40;*;*;1;1.45e+06;1.32e+12;1.45e+06;1.32e+12;2.02e+02;
58;J1248-6344;12:48:46.3;302.637;-0.866;-63.73600000;0.198335;1.69e-14;5.041971;-4.301e-13;*;*;51451.00;433.00;12.000;*;*;*;0.20;*;*;1;1.86e+05;1.85e+12;*;*;2.23e+03;
59;J1257-1027;12:57:04.7;305.205;52.395;-10.45154194;0.617308;3.63e-16;1.619937;-9.518e-16;5.000e-28;*;59400.00;29.63;6.600;32.000;*;12.00;1.20;*;*;1;2.70e+07;4.79e+11;*;*;1.91e+01;
60;J1301-6305;13:01:45.7;304.100;-0.244;-63.09275000;0.184528;2.67e-13;5.419229;-7.834e-12;2.300e-22;*;51206.00;374.00;22.000;*;*;*;0.49;*;*;4;1.10e+04;7.10e+12;*;*;1.06e+04;
