PSRJ;Gl;P0;P1;F3;DM;S1400;DIST_DM;NGLT;AGE;BSURF;AGE_I;BSURF_I;B_LC;
;;(度);(s);;(s^-4);(cm^-3pc);(mJy);(kpc);;(Yr);(G);(Yr);(G);(G);
19;J0537-6910;279.559;0.016122;5.18e-14;*;*;0.00;*;23;4.93e+03;9.25e+11;*;*;2.07e+06;
20;J0540-6919;279.717;0.050570;4.79e-13;*;147.20;0.10;*;2;1.67e+03;4.98e+12;*;*;3.61e+05;
21;J0601-0527;212.199;0.395969;1.30e-15;*;80.54;2.60;*;2;4.82e+06;7.27e+11;4.82e+06;7.26e+11;1.10e+02;
22;J0611+1436;195.378;0.270329;4.00e-15;*;43.99;1.10;*;1;1.07e+06;1.05e+12;*;*;4.99e+02;
23;J0613-0200;210.413;0.003062;9.59e-21;*;38.78;2.25;*;1;5.06e+09;1.73e+08;5.42e+09;1.68e+08;5.66e+04;
24;J0625+10;200.878;0.498397;*;*;78.00;0.09;*;2;*;*;*;*;*;
25;J0631+1036;201.219;0.287841;1.03e-13;*;125.31;1.11;*;19;4.44e+04;5.50e+12;*;*;2.16e+03;
26;J0633+1746;195.134;0.237099;1.10e-14;*;2.89;*;*;1;3.42e+05;1.63e+12;3.43e+05;1.63e+12;1.15e+03;
27;J0659+1414;201.108;0.384929;5.49e-14;*;13.95;2.70;*;2;1.11e+05;4.65e+12;1.11e+05;4.65e+12;7.65e+02;
28;J0729-1448;230.392;0.251709;1.13e-13;*;91.93;0.83;*;6;3.52e+04;5.41e+12;*;*;3.18e+03;
29;J0729-1836;233.760;0.510176;1.90e-14;*;61.23;1.90;*;2;4.26e+05;3.15e+12;4.26e+05;3.15e+12;2.22e+02;
30;J0742-2822;243.773;0.166762;1.68e-14;*;73.76;26.00;*;9;1.57e+05;1.69e+12;1.57e+05;1.69e+12;3.43e+03;
31;J0758-1528;234.464;0.682265;1.62e-15;*;63.33;2.60;*;1;6.68e+06;1.06e+12;*;*;3.14e+01;
32;J0820-1350;235.890;1.238130;2.11e-15;*;40.94;6.00;*;2;9.32e+06;1.63e+12;9.37e+06;1.63e+12;8.07e+00;
33;J0834-4159;260.886;0.121118;4.28e-15;*;240.50;0.28;*;1;4.48e+05;7.29e+11;*;*;3.84e+03;
34;J0835-4510;263.552;0.089328;1.25e-13;*;67.77;1050.00;*;23;1.13e+04;3.38e+12;1.13e+04;3.38e+12;4.45e+04;
35;J0846-3533;257.190;1.116099;1.60e-15;*;94.16;5.00;*;1;1.10e+07;1.35e+12;*;*;9.12e+00;
36;J0901-4624;267.404;0.442058;8.74e-14;*;198.96;0.51;*;1;8.02e+04;6.29e+12;*;*;6.83e+02;
37;J0905-5127;271.633;0.346310;2.48e-14;*;196.43;1.05;*;2;2.21e+05;2.97e+12;*;*;6.70e+02;
38;J0908-4913;270.265;0.106771;1.51e-14;*;180.16;20.00;*;1;1.12e+05;1.29e+12;1.12e+05;1.28e+12;9.90e+03;
39;J0922+0638;225.420;0.430632;1.37e-14;*;27.30;10.00;*;2;4.97e+05;2.46e+12;4.98e+05;2.46e+12;2.89e+02;
40;J0940-5428;277.510;0.087569;3.29e-14;*;134.83;0.66;*;2;4.22e+04;1.72e+12;*;*;2.40e+04;
41;J0954-5430;278.998;0.472866;4.39e-14;*;201.16;0.51;*;1;1.71e+05;4.61e+12;*;*;4.09e+02;
42;J1015-5719;283.088;0.139920;5.74e-14;*;277.79;3.00;*;1;3.86e+04;2.87e+12;*;*;9.81e+03;
43;J1016-5857;284.079;0.107386;8.08e-14;*;393.62;0.90;*;4;2.10e+04;2.98e+12;*;*;2.26e+04;
44;J1019-5749;283.837;0.162513;2.01e-14;*;1039.90;3.80;*;2;1.28e+05;1.83e+12;*;*;3.99e+03;
45;J1023-5746;284.166;0.111472;3.84e-13;-1.090e-28;*;*;*;1;4.60e+03;6.62e+1​​2;*;*;4.48e+04;
46;J1028-5819;285.065;0.091403;1.61e-14;*;96.53;0.24;*;1;9.00e+04;1.23e+12;*;*;1.51e+04;
47;J1048-5832;287.427;0.123740;9.61e-14;*;128.68;9.10;*;7;2.04e+04;3.49e+12;*;*;1.73e+04;
48;J1050-5953;288.256;6.452077;3.81e-11;*;*;*;*;2;2.68e+03;5.02e+14;*;*;1.75e+01;
49;J1052-5954;288.549;0.180592;2.00e-14;*;491.90;0.15;*;1;1.43e+05;1.92e+12;*;*;3.06e+03;
50;J1055-6028;289.133;0.099661;2.95e-14;*;636.50;0.95;*;1;5.35e+04;1.74e+12;*;*;1.64e+04;
51;J1105-6107;290.489;0.063202;1.58e-14;*;271.63;1.20;*;4;6.32e+04;1.01e+12;*;*;3.76e+04;
52;J1112-6103;291.221;0.064962;3.15e-14;*;595.69;2.30;*;4;3.27e+04;1.45e+12;*;*;4.95e+04;
53;J1119-6127;292.151;0.407963;4.02e-12;*;704.80;1.09;*;6;1.61e+03;4.10e+13;*;*;5.66e+03;
54;J1123-6259;293.183;0.271438;5.25e-15;*;223.26;0.51;*;1;8.19e+05;1.21e+12;*;*;5.66e+02;
55;J1124-5916;292.038;0.135477;7.53e-13;*;329.20;0.08;*;1;2.85e+03;1.02e+13;2.85e+03;1.02e+13;3.85e+04;
56;J1141-3322;286.586;0.291468;4.65e-16;*;46.37;1.60;*;1;9.92e+06;3.73e+11;*;*;1.41e+02;
57;J1141-6545;295.791;0.393899;4.31e-15;*;116.08;2.40;*;1;1.45e+06;1.32e+12;1.45e+06;1.32e+12;2.02e+02;
58;J1248-6344;302.637;0.198335;1.69e-14;*;433.00;0.20;*;1;1.86e+05;1.85e+12;*;*;2.23e+03;
59;J1257-1027;305.205;0.617308;3.63e-16;*;29.63;1.20;*;1;2.70e+07;4.79e+11;*;*;1.91e+01;
60;J1301-6305;304.100;0.184528;2.67e-13;*;374.00;0.49;*;4;1.10e+04;7.10e+12;*;*;1.06e+04;
61;J1302-6350;304.184;0.047763;2.28e-15;*;146.73;4.50;*;1;3.32e+05;3.34e+11;3.32e+05;3.34e+11;2.87e+04;
62;J1320-5359;307.305;0.279738;9.25e-15;*;97.31;2.10;*;2;4.79e+05;1.63e+12;*;*;6.97e+02;
63;J1328-4357;309.874;0.532703;3.04e-15;*;41.29;4.40;*;1;2.78e+06;1.29e+12;*;*;7.98e+01;
64;J1341-6220;308.730;0.193340;2.53e-13;*;719.65;2.70;*;36;1.21e+04;7.08e+12;*;*;9.18e+03;
65;J1357-6429;309.923;0.166308;3.61e-13;*;127.41;0.52;*;5;7.30e+03;7.84e+12;*;*;1.60e+04;
66;J1406-6121;311.841;0.213075;5.47e-14;*;537.29;0.44;*;1;6.17e+04;3.45e+12;*;*;3.35e+03;
67;J1410-6132;312.195;0.050052;3.20e-14;*;961.00;1.90;*;1;2.48e+04;1.28e+12;*;*;9.58e+04;
68;J1412-6145;312.324;0.315258;9.90e-14;*;512.48;0.69;*;1;5.04e+04;5.65e+12;*;*;1.69e+03;
69;J1413-6141;312.462;0.285625;3.33e-13;*;667.60;0.82;*;14;1.36e+04;9.88e+12;*;*;3.97e+03;
70;J1413-6205;312.373;0.109741;2.77e-14;*;*;*;*;1;6.28e+04;1.76e+12;*;*;1.25e+04;
71;J1420-6048;313.541;0.068180;8.32e-14;*;360.15;1.19;*;8;1.30e+04;2.41e+12;*;*;7.13e+04;
72;J1422-6138;313.521;0.340968;9.68e-14;*;*;0.00;*;2;5.58e+04;5.81e+12;*;*;1.38e+03;
73;J1452-6036;317.296;0.154992;1.45e-15;*;349.52;1.90;*;3;1.69e+06;4.80e+11;*;*;1.21e+03;
74;J1453-6413;315.733;0.179487;2.74e-15;*;71.19;18.00;*;4;1.04e+06;7.10e+11;1.04e+06;7.10e+11;1.15e+03;
75;J1509+5531;91.325;0.739682;5.00e-15;*;19.62;8.00;*;1;2.34e+06;1.95e+12;2.36e+06;1.94e+12;4.51e+01;
76;J1522-5735;322.052;0.102136;3.12e-14;*;*;0.00;*;1;5.18e+04;1.81e+12;*;*;1.59e+04;
77;J1524-5625;323.000;0.078244;3.90e-14;*;152.05;1.28;*;1;3.18e+04;1.77e+12;*;*;3.46e+04;
78;J1531-5610;323.897;0.084211;1.38e-14;*;110.71;0.87;*;1;9.70e+04;1.09e+12;*;*;1.71e+04;
79;J1532+2745;43.481;1.124836;7.80e-16;*;14.69;0.80;*;1;2.29e+07;9.48e+11;2.29e+07;9.47e+11;6.24e+00;
80;J1539-5626;324.621;0.243395;4.85e-15;*;175.97;5.00;*;1;7.95e+05;1.10e+12;*;*;7.15e+02;
81;J1602-5100;330.688;0.864297;6.94e-14;*;170.81;8.23;*;1;1.97e+05;7.84e+12;*;*;1.14e+02;
82;J1614-5048;332.206;0.231694;4.95e-13;*;582.40;4.10;*;4;7.42e+03;1.08e+13;*;*;8.17e+03;
83;J1617-5055;332.499;0.069357;1.35e-13;*;467.00;0.27;*;6;8.13e+03;3.10e+12;*;*;8.70e+04;
84;J1636-2614;353.120;0.510454;4.06e-15;*;92.72;0.19;*;2;1.99e+06;1.46e+12;*;*;1.03e+02;
85;J1644-4559;339.193;0.455078;2.01e-14;*;478.66;300.00;*;4;3.59e+05;3.06e+12;*;*;3.04e+02;
86;J1645-0317;14.114;0.387692;1.78e-15;*;35.76;25.76;*;7;3.45e+06;8.41e+11;3.45e+06;8.40e+11;1.35e+02;
87;J1646-4346;341.105;0.231603;1.13e-13;*;490.40;1.25;*;2;3.25e+04;5.17e+12;*;*;3.90e+03;
88;J1650-4502;340.559;0.380870;1.61e-14;*;320.20;0.61;*;1;3.76e+05;2.50e+12;*;*;4.25e+02;
89;J1702-4128;344.744;0.182136;5.23e-14;*;365.75;1.17;*;1;5.51e+04;3.12e+12;*;*;4.85e+03;
90;J1702-4310;343.352;0.240524;2.24e-13;*;377.60;0.92;*;2;1.70e+04;7.42e+12;*;*;5.00e+03;
91;J1703-4851;338.986;1.396405;5.07e-15;*;149.65;1.40;*;1;4.36e+06;2.69e+12;*;*;9.27e+00;
92;J1705-1906;3.189;0.298991;4.14e-15;*;22.91;5.66;*;4;1.14e+06;1.13e+12;*;*;3.95e+02;
93;J1705-3423;350.721;0.255427;1.08e-15;*;146.15;5.30;*;3;3.76e+06;5.30e+11;*;*;2.98e+02;
94;J1705-3950;346.341;0.318979;6.08e-14;*;207.25;1.60;*;1;8.32e+04;4.46e+12;*;*;1.29e+03;
95;J1706-4434;342.672;0.429922;2.58e-15;*;467.00;0.19;*;1;2.64e+06;1.07e+12;*;*;1.26e+02;
96;J1708-4008;346.481;11.006262;1.96e-11;*;*;*;*;3;8.90e+03;4.70e+14;*;*;3.30e+00;
97;J1709-4429;343.098;0.102533;9.31e-14;*;75.58;12.10;*;7;1.75e+04;3.13e+12;1.75e+04;3.13e+12;2.72e+04;
98;J1718-3718;349.849;3.378574;1.61e-12;*;371.10;0.40;*;1;3.32e+04;7.47e+13;*;*;1.82e+01;
99;J1718-3825;348.951;0.074675;1.32e-14;*;247.46;1.70;*;3;8.98e+04;1.00e+12;*;*;2.26e+04;
100;J1720-1633;7.374;1.565606;5.80e-15;*;45.06;1.10;*;1;4.28e+06;3.05e+12;*;*;7.45e+00;
101;J1721-3532;351.687;0.280424;2.52e-14;*;496.82;16.80;*;1;1.76e+05;2.69e+12;*;*;1.14e+03;
102;J1722-3632;350.934;0.399187;4.47e-15;*;415.79;2.90;*;1;1.42e+06;1.35e+12;*;*;1.99e+02;
103;J1730-3350;354.133;0.139506;8.41e-14;*;261.29;4.30;*;5;2.63e+04;3.47e+12;*;*;1.20e+04;
104;J1731-4744;342.565;0.829946;1.64e-13;*;123.06;27.00;*;9;8.04e+04;1.18e+13;8.04e+04;1.18e+13;1.93e+02;
105;J1734-3333;354.819;1.169341;2.28e-12;*;578.00;0.71;*;1;8.13e+03;5.22e+13;*;*;3.06e+02;
106;J1737-3102;357.298;0.768672;3.73e-14;*;280.00;0.60;*;1;3.26e+05;5.42e+12;*;*;1.12e+02;
107;J1737-3137;356.744;0.450432;1.39e-13;*;488.10;0.88;*;6;5.14e+04;8.00e+12;*;*;8.21e+02;
108;J1739-2903;359.206;0.322889;7.88e-15;*;138.67;4.50;*;1;6.50e+05;1.61e+12;*;*;4.49e+02;
109;J1740+1000;34.011;0.154101;2.13e-14;*;23.80;2.70;*;2;1.14e+05;1.83e+12;*;*;4.70e+03;
110;J1740-3015;358.294;0.606887;4.66e-13;*;151.90;8.90;*;39;2.06e+04;1.70e+13;*;*;7.14e+02;
111;J1742-3321;355.851;0.143307;1.27e-15;*;*;*;*;1;1.79e+06;4.32e+11;*;*;1.37e+03;
112;J1743-3150;357.298;2.414652;1.21e-13;*;192.19;2.10;*;1;3.17e+05;1.73e+13;*;*;1.15e+01;
113;J1746-2856;0.126;0.945224;1.25e-14;*;1168.00;*;*;1;1.20e+06;3.48e+12;*;*;3.86e+01;
114;J1751-3323;356.829;0.548231;8.87e-15;*;295.54;1.67;*;3;9.79e+05;2.23e+12;*;*;1.27e+02;
115;J1757-2421;5.281;0.234109;1.30e-14;*;179.58;7.20;*;1;2.86e+05;1.76e+12;*;*;1.29e+03;
116;J1801-0357;23.595;0.921493;3.30e-15;*;120.33;0.70;*;1;4.42e+06;1.77e+12;*;*;2.12e+01;
117;J1801-2304;6.837;0.415827;1.13e-13;*;1067.85;7.00;*;14;5.83e+04;6.93e+12;*;*;9.04e+02;
118;J1801-2451;5.254;0.124924;1.28e-13;*;291.55;1.46;*;9;1.55e+04;4.04e+12;*;*;1.95e+04;
119;J1803-2137;8.395;0.133667;1.34e-13;*;234.04;9.60;*;8;1.58e+04;4.29e+12;1.58e+04;4.29e+12;1.68e+04;
120;J1806-2125;8.811;0.481825;1.18e-13;*;747.00;0.80;*;1;6.47e+04;7.63e+12;*;*;6.39e+02;
121;J1809-1917;11.094;0.082764;2.55e-14;*;197.30;2.80;*;1;5.15e+04;1.47e+12;*;*;2.43e+04;
122;J1809-2004;10.363;0.434811;7.28e-15;*;867.10;0.90;*;2;9.46e+05;1.80e+12;*;*;2.05e+02;
123;J1812-1718;13.109;1.205374;1.91e-14;*;251.40;1.10;*;4;1.00e+06;4.85e+12;*;*;2.60e+01;
124;J1813-1246;17.244;0.048072;1.76e-14;*;*;*;*;1;4.34e+04;9.30e+11;*;*;7.85e+04;
125;J1814-1744;13.021;3.975905;7.45e-13;*;820.00;0.70;*;6;8.46e+04;5.51e+13;*;*;8.21e+00;
126;J1818-1422;16.405;0.291489;2.04e-15;*;619.65;9.60;*;1;2.27e+06;7.80e+11;*;*;2.95e+02;
127;J1819-1458;16.019;4.263213;5.63e-13;-2.400e-33;196.00;*;*;3;1.20e+05;4.96e+13;*;*;6.00e+00;
128;J1822-1604;15.353;8.437721;2.14e-14;*;*;*;*;1;6.26e+06;1.36e+13;*;*;2.12e-01;
129;J1824-1118;19.809;0.435759;3.55e-15;*;601.31;1.30;*;1;1.94e+06;1.26e+12;*;*;1.43e+02;
130;J1824-2452A;7.797;0.003054;1.62e-18;*;119.90;2.30;*;1;2.99e+07;2.25e+09;3.00e+07;2.25e+09;7.40e+05;
131;J1825-0935;21.449;0.769021;5.24e-14;*;19.38;10.00;*;14;2.33e+05;6.42e+12;2.33e+05;6.42e+12;1.32e+02;
132;J1826-1334;18.001;0.101487;7.53e-14;*;231.73;4.70;*;8;2.14e+04;2.80e+12;*;*;2.51e+04;
133;J1827-0958;21.286;0.245757;1.00e-15;*;430.00;2.20;*;1;3.88e+06;5.02e+11;*;*;3.17e+02;
134;J1830-1059;20.812;0.405094;5.99e-14;*;159.70;1.50;*;1;1.07e+05;4.99e+12;*;*;7.03e+02;
135;J1830-1135;20.193;6.221553;4.77e-14;*;257.00;1.10;*;1;2.06e+06;1.74e+13;*;*;6.79e-01;
136;J1833-0827;23.385;0.085291;9.18e-15;*;409.75;6.90;*;4;1.47e+05;8.95e+11;1.47e+05;8.95e+11;1.35e+04;
137;J1833-1034;21.501;0.061884;2.02e-13;*;169.50;0.07;*;4;4.85e+03;3.58e+12;*;*;1.42e+05;
138;J1834-0731;24.288;0.512995;5.82e-14;*;288.30;1.30;*;1;1.40e+05;5.53e+12;*;*;3.84e+02;
139;J1835-1020;21.980;0.302452;5.92e-15;*;115.66;1.90;*;1;8.09e+05;1.35e+12;*;*;4.59e+02;
140;J1835-1106;21.222;0.165918;2.06e-14;*;132.68;2.50;*;1;1.28e+05;1.87e+12;*;*;3.84e+03;
141;J1836-1008;22.263;0.562721;1.18e-14;*;315.94;4.80;*;1;7.56e+05;2.61e+12;*;*;1.37e+02;
142;J1837-0559;26.001;0.201065;3.31e-15;*;317.98;0.58;*;3;9.62e+05;8.26e+11;*;*;9.53e+02;
143;J1837-0604;25.960;0.096313;4.49e-14;*;460.00;0.75;*;3;3.40e+04;2.10e+12;*;*;2.21e+04;
144;J1838-0453;27.070;0.380866;1.16e-13;*;617.20;0.40;*;2;5.19e+04;6.74e+12;*;*;1.14e+03;
145;J1839-0223;29.500;1.266790;4.76e-15;*;330.00;0.11;*;1;4.21e+06;2.49e+12;*;*;1.15e+01;
146;J1841-0157;30.100;0.663332;1.81e-14;*;475.21;0.81;*;1;5.81e+05;3.50e+12;*;*;1.13e+02;
147;J1841-0345;28.423;0.204106;5.79e-14;*;196.64;2.07;*;1;5.59e+04;3.48e+12;*;*;3.83e+03;
148;J1841-0425;27.818;0.186149;6.39e-15;*;325.49;3.30;*;2;4.61e+05;1.10e+12;*;*;1.60e+03;
149;J1841-0456;27.387;11.788978;4.09e-11;*;*;*;*;4;4.57e+03;7.03e+14;*;*;4.02e+00;
150;J1841-0524;27.024;0.445810;2.33e-13;*;284.50;0.20;*;5;3.03e+04;1.03e+13;*;*;1.09e+03;
151;J1842+0257;34.558;3.088256;2.96e-14;*;146.00;0.26;*;1;1.65e+06;9.67e+12;*;*;3.08e+00;
152;J1844+00;32.624;0.460503;*;*;346.60;8.60;*;2;*;*;*;*;*;
153;J1844-0346;28.787;0.112855;1.55e-13;*;*;*;*;1;1.16e+04;4.23e+12;*;*;2.76e+04;
154;J1844-0433;28.096;0.991030;3.91e-15;*;123.16;1.10;*;1;4.01e+06;1.99e+12;*;*;1.92e+01;
155;J1844-0538;27.073;0.255704;9.71e-15;*;411.71;3.20;*;1;4.17e+05;1.59e+12;*;*;8.94e+02;
156;J1845-0316;29.390;0.207636;8.86e-15;*;500.00;0.35;*;2;3.71e+05;1.37e+12;*;*;1.44e+03;
157;J1845-0743;25.428;0.104695;3.67e-16;*;281.02;3.00;*;1;4.52e+06;1.98e+11;*;*;1.62e+03;
158;J1846-0258;29.712;0.326571;7.11e-12;*;*;*;*;2;7.28e+02;4.88e+13;*;*;1.31e+04;
159;J1847-0130;31.147;6.707046;1.27e-12;*;667.00;0.33;*;2;8.33e+04;9.36e+13;*;*;2.91e+00;
160;J1847-0402;28.876;0.597809;5.17e-14;*;141.98;4.90;*;2;1.83e+05;5.63e+12;*;*;2.47e+02;
161;J1849-0317;29.834;0.668422;2.21e-14;*;39.62;0.70;*;1;4.80e+05;3.89e+12;*;*;1.22e+02;
162;J1850-0026;32.407;0.166634;3.91e-14;*;947.00;1.77;*;4;6.75e+04;2.58e+12;*;*;5.23e+03;
163;J1851-0029;32.542;0.518724;4.71e-15;*;521.11;0.44;*;1;1.75e+06;1.58e+12;*;*;1.06e+02;
164;J1852-0635;27.224;0.524159;1.46e-14;*;173.60;9.50;*;1;5.68e+05;2.80e+12;*;*;1.82e+02;
165;J1853+0056;34.017;0.275578;2.14e-14;*;180.90;0.21;*;1;2.04e+05;2.46e+12;*;*;1.10e+03;
166;J1853+0545;38.354;0.126400;6.12e-16;*;197.91;2.70;*;1;3.27e+06;2.82e+11;*;*;1.31e+03;
167;J1856+0113;34.560;0.267440;2.08e-13;*;96.10;0.19;*;2;2.03e+04;7.55e+12;*;*;3.70e+03;
168;J1856+0245;36.008;0.080907;6.21e-14;*;623.50;0.58;*;1;2.06e+04;2.27e+12;*;*;4.02e+04;
169;J1901+0156;35.818;0.288221;2.36e-15;*;105.39;0.38;*;2;1.94e+06;8.34e+11;*;*;3.27e+02;
170;J1901+0716;40.569;0.644001;2.29e-15;*;252.61;0.90;*;1;4.46e+06;1.23e+12;*;*;4.31e+01;
171;J1902+0615;39.814;0.673507;7.71e-15;*;502.93;1.60;*;6;1.38e+06;2.31e+12;1.38e+06;2.31e+12;7.08e+01;
172;J1906+0722;41.216;0.111524;3.59e-14;*;*;*;*;1;4.92e+04;2.02e+12;*;*;1.37e+04;
173;J1907+0631;40.515;0.323648;4.52e-13;*;429.40;0.25;*;2;1.13e+04;1.22e+13;*;*;3.39e+03;
174;J1909+0007;35.123;1.016953;5.52e-15;*;112.76;0.87;*;3;2.92e+06;2.40e+12;*;*;2.14e+01;
175;J1909+0749;41.909;0.237161;1.52e-13;*;539.36;0.23;*;1;2.47e+04;6.07e+12;*;*;4.27e+03;
176;J1909+0912;43.164;0.222972;3.59e-14;*;423.05;0.40;*;2;9.83e+04;2.86e+12;*;*;2.42e+03;
177;J1909+1102;44.832;0.283643;2.64e-15;*;149.82;3.20;*;2;1.70e+06;8.76e+11;1.70e+06;8.76e+11;3.60e+02;
178;J1910+0358;38.606;2.330266;4.47e-15;*;83.87;1.50;*;1;8.26e+06;3.27e+12;*;*;2.42e+00;
179;J1910+1026;44.426;0.531493;2.57e-13;*;712.80;0.06;*;1;3.28e+04;1.18e+13;*;*;7.39e+02;
180;J1910-0309;32.280;0.504606;2.19e-15;*;205.40;0.55;*;3;3.65e+06;1.06e+12;*;*;7.77e+01;
181;J1913+0446;39.736;1.616130;2.79e-13;*;109.10;0.48;*;3;9.18e+04;2.15e+13;*;*;4.77e+01;
182;J1913+0832;42.980;0.134412;4.57e-15;*;355.90;0.90;*;1;4.66e+05;7.93e+11;*;*;3.06e+03;
183;J1913+0904;43.​​502;0.163251;1.76e-14;*;96.84;0.40;*;1;1.47e+05;1.72e+12;*;*;3.70e+03;
184;J1913+1000;44.285;0.837158;1.67e-14;*;422.99;0.53;*;1;7.93e+05;3.79e+12;*;*;6.05e+01;
185;J1913+1011;44.485;0.035911;3.38e-15;*;178.49;0.90;*;1;1.68e+05;3.53e+11;*;*;7.14e+04;
186;J1915+1009;44.707;0.404554;1.53e-14;*;241.58;2.00;*;1;4.20e+05;2.51e+12;4.20e+05;2.51e+12;3.56e+02;
187;J1915+1150;46.170;0.100041;1.37e-14;*;699.83;0.05;*;1;1.16e+05;1.18e+12;*;*;1.11e+04;
188;J1915+1606;49.968;0.059030;8.62e-18;*;168.77;0.90;*;1;1.09e+08;2.28e+10;1.09e+08;2.28e+10;1.04e+03;
189;J1919+0021;36.506;1.272267;7.68e-15;*;90.20;0.80;*;1;2.63e+06;3.16e+12;2.63e+06;3.16e+12;1.44e+01;
190;J1921+0812;43.710;0.210650;5.37e-15;*;82.82;0.66;*;1;6.21e+05;1.08e+12;*;*;1.08e+03;
191;J1923+4243;74.715;0.595193;2.53e-15;*;52.99;*;*;1;3.72e+06;1.24e+12;*;*;5.52e+01;
192;J1926+0431;40.980;1.074080;2.46e-15;*;102.24;*;*;1;6.91e+06;1.65e+12;*;*;1.25e+01;
193;J1931+1817;53.739;0.234131;1.07e-13;*;465.00;0.15;*;4;3.46e+04;5.07e+12;*;*;3.71e+03;
194;J1932+2220;57.356;0.144470;5.76e-14;*;218.90;1.20;*;3;3.98e+04;2.92e+12;*;*;9.07e+03;
195;J1937+2544;60.836;0.200980;6.43e-16;*;53.22;1.40;*;1;4.95e+06;3.64e+11;4.96e+06;3.64e+11;4.20e+02;
196;J1939+2609;61.501;0.466963;5.20e-18;*;47.30;0.15;*;1;1.42e+09;4.99e+10;*;*;4.59e+00;
197;J1947+1957;56.987;0.157509;5.23e-16;*;185.80;0.08;*;1;4.78e+06;2.90e+11;*;*;6.97e+02;
198;J1952+3252;68.765;0.039531;5.84e-15;*;45.01;1.00;*;6;1.07e+05;4.86e+11;1.07e+05;4.86e+11;7.38e+04;
199;J1954+2529;62.580;0.931210;1.26e-15;*;182.70;0.06;*;1;1.17e+07;1.10e+12;*;*;1.27e+01;
200;J1955+5059;84.793;0.518938;1.37e-15;*;31.98;4.00;*;2;5.99e+06;8.54e+11;*;*;5.73e+01;
201;J1957+2831;65.524;0.307683;3.11e-15;*;138.99;1.00;*;5;1.57e+06;9.90e+11;*;*;3.19e+02;
202;J2005-0020;41.331;2.279680;2.57e-14;*;36.09;0.70;*;1;1.41e+06;7.74e+12;*;*;6.12e+00;
203;J2021+3651;75.222;0.103741;9.57e-14;*;367.50;0.10;*;4;1.72e+04;3.19e+12;*;*;2.68e+04;
204;J2022+3842;76.888;0.048579;8.61e-14;*;429.10;*;*;1;8.94e+03;2.07e+12;*;*;1.69e+05;
205;J2022+5154;87.862;0.529197;3.06e-15;*;22.55;27.00;*;1;2.74e+06;1.29e+12;2.74e+06;1.29e+12;8.15e+01;
206;J2029+3744;76.898;1.216805;1.23e-14;*;190.66;0.60;*;1;1.56e+06;3.92e+12;*;*;2.04e+01;
207;J2029+5459;90.981;0.578909;2.26e-15;*;59.75;*;*;2;4.07e+06;1.16e+12;*;*;5.59e+01;
